id,key,value,type
31419556,amenity,restaurant,regular
31419556,name,Firebrand Saints,regular
61151272,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61151272,source,massgis_import_v0.1_20071008124914,regular
61152567,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61152567,created_by,JOSM,regular
61152567,source,massgis_import_v0.1_20071008124914,regular
61155415,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155415,source,massgis_import_v0.1_20071008124914,regular
61155739,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155739,source,massgis_import_v0.1_20071008124914,regular
61155741,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155741,source,massgis_import_v0.1_20071008124914,regular
61155746,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155746,source,massgis_import_v0.1_20071008124914,regular
61155754,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155754,source,massgis_import_v0.1_20071008124914,regular
61170342,highway,traffic_signals,regular
61170398,highway,traffic_signals,regular
61170474,highway,traffic_signals,regular
61170554,highway,traffic_signals,regular
61170644,highway,traffic_signals,regular
61170660,highway,traffic_signals,regular
61170948,highway,traffic_signals,regular
61170975,highway,traffic_signals,regular
61171059,highway,traffic_signals,regular
61171071,highway,traffic_signals,regular
61171110,highway,traffic_signals,regular
61171138,highway,traffic_signals,regular
61171138,name,Magoun Square,regular
61171206,crossing,traffic_signals,regular
61171206,highway,traffic_signals,regular
61171234,highway,traffic_signals,regular
61171456,highway,traffic_signals,regular
61171464,highway,traffic_signals,regular
61171710,highway,traffic_signals,regular
61171764,highway,traffic_signals,regular
61171899,highway,traffic_signals,regular
61172071,highway,traffic_signals,regular
61172228,crossing,traffic_signals,regular
61172228,highway,traffic_signals,regular
61172401,highway,crossing,regular
61172421,highway,traffic_signals,regular
61172598,highway,traffic_signals,regular
61172660,highway,traffic_signals,regular
61173421,highway,traffic_signals,regular
61173421,traffic_signals,blinker,regular
61173441,highway,traffic_signals,regular
61173631,highway,traffic_signals,regular
61176326,highway,traffic_signals,regular
61178654,highway,traffic_signals,regular
61179910,highway,crossing,regular
61180006,crossing,traffic_signals,regular
61180006,highway,traffic_signals,regular
61180371,highway,traffic_signals,regular
61180630,highway,traffic_signals,regular
61182441,highway,crossing,regular
61182580,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61182580,source,massgis_import_v0.1_20071008141127,regular
